NASH	Control	NASH	NASH	NASH	Control	NASH	Control
RL518-mf	RL585-mf	RL601-mf	RL606-mf	RL641-mf	RL654-mf	RL663-mf	RL686-mf
8.80041	6.96213	31.7005	0	18.5171	0	11.6603	50.7862
0	0	0	0	0	0	0	0
136.76	126.458	207.864	65.5284	118.656	61.6589	36.8214	986.065
136.76	126.458	207.864	65.5284	118.656	61.6589	36.8214	986.065
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
59.9813	79.4506	153.903	34.8997	98.1065	47.9143	16.4928	418.791
5.34434	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
88.372	101.398	221.666	49.0703	109.746	46.3751	39.2746	646.377
135.737	184.534	236.392	107.583	178.474	71.6934	35.6208	593.106
0	0	0	0	0	0	0	12.106
0	43.4055	32.7146	36.927	78.7836	0	48.2939	69.8283
0	0	0	0	0	0	0	0
0	2.83453	0	0	0	2.37543	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
21.2893	9.73395	8.40125	0	0	2.78575	0	62.5549
274.78	278.757	497.941	66.3422	339.482	86.4466	52.1518	791.487
89.8113	51.1773	27.8853	23.1655	83.1475	0	19.3374	213.458
0	5.361	0	0	0	0	0	7.5813
0	5.361	0	0	0	0	0	7.5813
0	0	0	0	0	0	5.34918	0
0	0	0	0	0	0	0	0
0	0	0	0	6.20849	0	2.43368	0
81.5949	125.414	146.05	62.617	160.279	23.2685	28.6404	1116.04
0	0	0	0	0	0	0	0
8.57318	1.58575	9.19519	0	6.81942	6.05202	0	33.849
0	4.21268	0	0	0	0	5.63076	5.75935
0	0	0	0	0	0	0	0
10.9884	3.66633	0	5.84979	3.31108	0	6.21556	8.67925
0	5.20277	0	0	0	0	0	0
0	0	0	0	0	0	4.52209	0
93.9891	113.001	193.194	98.0824	146.6	81.7879	72.8355	582.521
72.9469	18.5811	24.5751	10.3469	28.0102	36.7762	14.5886	66.4007
15.1229	17.3101	22.106	6.26827	14.0323	0	11.6155	47.9572
96.3142	99.0357	176.484	48.6283	106.734	72.4425	15.9093	434.271
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
84.0027	14.907	19.5956	7.0191	22.4112	0	10.3565	63.867
0	0	0	0	0	3.5321	0	6.70863
